Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
July,37,Architect,88481.16,7082.43,3,4,18,0,19,9,13.29,4.0,Standard,1343.5,38653197777691900,NA,Yes,0.0,5584856029357560,Low_spent_Large_value_payments,419757397064244,Standard
August,37,Architect,88481.16,7082.43,3,4,18,0,19,12,13.29,4.0,Standard,1343.5,25663275579674900,NA,Yes,0.0,5453324336538250,Low_spent_Medium_value_payments,4429110000000000,Standard
January,37,Media_Manager,18244.44,1555.37,7,4,15,7,3,17,18.2,7.0,Standard,1580.95,31845926015095300,NA,Yes,6698943274744110,6240474729618330,Low_spent_Large_value_payments,29614300000000000,Poor
February,37,Media_Manager,18244.44,1555.37,7,4,15,7,10,18,18.2,7.0,Standard,1580.95,35709677058813900,15 Years and 11 Months,Yes,6698943274744110,7233170229860060,Low_spent_Large_value_payments,28621600000000000,Poor
March,37,Media_Manager,18244.44,1555.37,7,4,15,7,8,17,18.2,7.0,_,1580.95,3226092013396020,16 Years and 0 Months,Yes,6698943274744110,15230211756777400,Low_spent_Medium_value_payments,21624500000000000,Poor
April,37,Media_Manager,18244.44,1555.37,7,4,15,7,8,17_,18.2,7.0,Standard,1580.95,2924966367109400,16 Years and 1 Months,Yes,33944.0,2021537285153360,Low_spent_Small_value_payments,17639400000000000,Poor
May,37,Media_Manager,18244.44_,1555.37,7,4,15,7,8,15,18.2,7.0,Standard,1580.95,31430356718291900,16 Years and 2 Months,Yes,6698943274744110,2083360170188240,Low_spent_Small_value_payments,17021200000000000,Poor
June,37,Media_Manager,18244.44,1555.37,7,4,15,7,5,17,18.2,7.0,Standard,1580.95,3589929576605550,16 Years and 3 Months,Yes,6698943274744110,11536190444667100,Low_spent_Small_value_payments,26318600000000000,Poor
July,37,Media_Manager,18244.44,1555.37,7,4,15,7_,8,14,18.2,7.0,Standard,1580.95,30707704040682200,16 Years and 4 Months,Yes,6698943274744110,,High_spent_Small_value_payments,28455700000000000,Poor
August,37,Media_Manager,18244.44,1555.37,7,4,15,7,8,18,18.2,7.0,Standard,1580.95,33908987129536300,16 Years and 5 Months,Yes,6698943274744110,6135552517915340,Low_spent_Small_value_payments,3171920000000000,Poor
January,31,Writer,95999.44,7725953333333330,7,3,7,0,29,20,7.78,3.0,Standard,1090.59,39947575169428500,23 Years and 1 Months,NM,0.0,11286962985649900,High_spent_Medium_value_payments,9097260000000000,Standard
February,31,Writer,95999.44,7725953333333330,7,3,7,0,26,23,7.78,3.0,Standard,1090.59,3633703932297110,23 Years and 2 Months,Yes,0.0,14082701466175200,High_spent_Large_value_payments,8717680000000000,Standard
March,31,Writer,95999.44,,7,3,7,0,29,20,10.78,3.0,_,1090.59,39538086209822700,23 Years and 3 Months,Yes,0.0,21679870828968700,Low_spent_Large_value_payments,8257970000000000,Standard
April,31,Writer,95999.44,7725953333333330,7,3,7,0,26,17,7.78,3.0,Standard,1090.59,29866728280259800,NA,NM,0.0,9161298472229830,Low_spent_Small_value_payments,1464650000000000,Good
May,31,Writer,95999.44,7725953333333330,7,3,7,0,26,20,7.78,3.0,Standard,1090.59,3938924184077480,23 Years and 5 Months,Yes,0.0,202512364530356,Low_spent_Large_value_payments,8400830000000000,Good
June,31,Writer,95999.44,7725953333333330,7,3,7,0,29,19,7.78,3.0,Standard,1090.59,29652568707483600,23 Years and 6 Months,Yes,0.0,,!@9#%8,3809860000000000,Standard
July,31,Writer,95999.44,,7,3,7,0,26,17_,7.78,6.0,Standard,1090.59,30857737987775900,23 Years and 7 Months,Yes,0.0,6659931905116410,Low_spent_Medium_value_payments,38660200000000000,Good
August,31,Writer,95999.44,7725953333333330,7,3,7,0,26,20,7.78,6.0,Standard,1090.59,28528049344982000,23 Years and 8 Months,Yes,0.0,1456877199727310,High_spent_Medium_value_payments,876907613360602,Standard
January,36,Teacher,42052.74,3790395,7,7,8,3,26,17,12.51,8.0,Standard,444.77,3168300471910380,13 Years and 7 Months,Yes,6653508304058960,9319446767826040,High_spent_Medium_value_payments,4693100000000000,Standard
February,36,Teacher,42052.74,3790395,7,7,8,3,26,19,13.51,8.0,_,444.77,39579851614022100,13 Years and 8 Months,NM,6653508304058960,15549572797273600,Low_spent_Large_value_payments,42700900000000000,Standard
March,37,Teacher,42052.74,3790395,7,7,8,3,21,19,12.51,8.0,Standard,444.77,3849173728288080,NA,Yes,6653508304058960,2277869138748360,High_spent_Small_value_payments,3447180000000000,Standard
April,37,Teacher,42052.74,,7,7,8,3_,21,17,12.51,8.0,_,444.77,31823779651429800,13 Years and 10 Months,Yes,6653508304058960,9510531947251470,High_spent_Large_value_payments,4573990000000000,Standard
May,37_,Teacher,42052.74,3790395,7,7,8,3,25,20,6.51,8.0,_,444.77,28130060862804500,13 Years and 11 Months,Yes,6653508304058960,22009599829689500,High_spent_Small_value_payments,3524080000000000,Standard
June,37,Teacher,42052.74,3790395,7,7,8,3,26,17,12.51,10.0,Standard,444.77,3215727082293800,14 Years and 0 Months,Yes,6653508304058960,61684681724105300,High_spent_Medium_value_payments,50082000000000000,Standard
July,37,Teacher,42052.74,3790395,7,7,8,3_,26,17,12.51,10.0,Standard,444.77,3054959498033970,14 Years and 1 Months,Yes,6653508304058960,43870575078944700,Low_spent_Small_value_payments,16379900000000000,Standard
August,-500,Teacher,42052.74,,7,7,8,3,26,17,12.51,10.0,Standard,444.77,3575943997369950,14 Years and 2 Months,Yes,6653508304058960,1166600890659510,High_spent_Medium_value_payments,44584400000000000,Standard
January,52,Scientist,32012.4_,,1,1,3,1,0,5,07.03,0.0,Good,1097.83,30184840557076100,26 Years and 2 Months,No,206442480548405,,High_spent_Small_value_payments,41326500000000000,Good
February,52,Scientist,32012.4_,23807000000000000,1,1,3,1,-3,5,07.03,0.0,Good,1097.83,26870085488883900,26 Years and 3 Months,No,206442480548405,9102509952188860,!@9#%8,37640100000000000,Good
March,52,Scientist,32012.4,,1,1,3,1,1,5,_,0.0,Good,1097.83,30895938032978700,26 Years and 4 Months,No,206442480548405,7443774226766510,High_spent_Small_value_payments,4029880000000000,Good
April,52,Scientist,32012.4,23807000000000000,1,1,3,-100,1,3,07.03,0.0,Good,1097.83,3572615344044950,26 Years and 5 Months,NM,206442480548405,,High_spent_Medium_value_payments,3841290000000000,Good
May,52,Scientist,32012.4,23807000000000000,1,1,3,1,1,4,07.03,0.0,Good,1097.83,2671448969055290,26 Years and 6 Months,No,206442480548405,8975511283631610,Low_spent_Small_value_payments,4176710000000000,Good
June,52,Scientist,32012.4,23807000000000000,1,1,3,1,1,4,10.03,0.0,_,1097.83,2430990913329990,26 Years and 7 Months,No,206442480548405,8199655531770230,High_spent_Medium_value_payments,38542900000000000,Good
July,53,Scientist,32012.4,23807000000000000,1,1,3,1,5,2,07.03,0.0,Good,1097.83,2422681157088100,26 Years and 8 Months,No,206442480548405,21923266717976600,Low_spent_Small_value_payments,2881930000000000,Good
August,53,Scientist,32012.4,23807000000000000,1,1,3,1,1,,07.03,0.0,_,1097.83,27314112715801300,26 Years and 9 Months,No,206442480548405,57137252619967500,High_spent_Large_value_payments,40028800000000000,Good
January,23,Developer,102412.35,82903625,5,6,8,0,25,15,11.13,1.0,Standard,719.06,3468728432318840,18 Years and 5 Months,Yes,0.0,283487148891203,Low_spent_Small_value_payments,835549101108797,Standard
February,23,Developer,102412.35,,5,6,4012,0,25,17,11.13,1.0,Standard,719.06,3287809003286900,18 Years and 6 Months,Yes,0.0,20742127968034600,High_spent_Large_value_payments,8616150000000000,Standard
March,23,Developer,102412.35,82903625,5,6,8,0,30,15,11.13,1.0,_,719.06,4344449690791180,18 Years and 7 Months,Yes,0.0,15428798190147000,High_spent_Medium_value_payments,9247480000000000,Standard
April,23,Developer,102412.35,82903625,5,6,8,0_,25,14,11.13,1.0,Standard,719.06,3702625392333420,18 Years and 8 Months,Yes,0.0,961965353525708,High_spent_Large_value_payments,9728400000000000,Standard
May,23,Developer,102412.35,82903625,5,6,8,0,25,17,11.13,1.0,Standard,719.06,3592692576759920,18 Years and 9 Months,Yes,0.0,2856840430779020,Low_spent_Medium_value_payments,8233520000000000,Standard
June,23,Developer,102412.35,,5,6,8,0,25,17,11.13,3.0,Standard,719.06,2905279127763610,18 Years and 10 Months,Yes,0.0,__10000__,High_spent_Large_value_payments,8862860000000000,Standard
July,23,Developer,102412.35,82903625,5,6,8,0,26,17,12.13,3.0,_,719.06,3866276043145330,18 Years and 11 Months,Yes,0.0,2743826880388100,High_spent_Medium_value_payments,8046540000000000,Standard
August,23,Developer,102412.35,82903625,5,6,8,0,25,17_,11.13,,_,719.06,30662421178250600,19 Years and 0 Months,NM,0.0,202754513669328,High_spent_Large_value_payments,866281736330672,Standard
January,23,Mechanic,68988.68,5942056666666660,5,4,7,2,14,4,7.15,3.0,Good,1106.06,3121947494532550,31 Years and 9 Months,No,10135813094961400,12260580289499600,High_spent_Medium_value_payments,6202420000000000,Poor
February,23,Mechanic,68988.68,5942056666666660,5,4,7,2,14,5_,4.15,3.0,_,1106.06,32024699431421700,31 Years and 10 Months,NM,10135813094961400,2581710653372960,Low_spent_Medium_value_payments,5146760000000000,Poor
March,23,Mechanic,68988.68,5942056666666660,5,4,7,2,14,4,7.15,3.0,Good,1106.06,35129377852144500,31 Years and 11 Months,No,10135813094961400,2703516306004060,Low_spent_Small_value_payments,512495905116645,Standard
April,23,Mechanic,68988.68,,5,4,7,2,14,4,7.15,3.0,_,1106.06,333687943655928,32 Years and 0 Months,No,10135813094961400,14844655836416700,High_spent_Medium_value_payments,594400977352884,Standard
May,24,Mechanic,68988.68,5942056666666660,5,4,7,2,14,4,7.15,3.0,Good,1106.06,25459162290256300,32 Years and 1 Months,NM,10135813094961400,2214788655770560,High_spent_Medium_value_payments,521368670139995,Standard
June,24,Mechanic,68988.68,5942056666666660,5,4,7,2,14,4,7.15,3.0,Good,1106.06,3324476995006840,32 Years and 2 Months,No,10135813094961400,7750066595648300,Low_spent_Small_value_payments,7840880000000000,Standard
July,24,Mechanic,68988.68,5942056666666660,5,4,7,2,9,1,7.15,3.0,Good,1106.06,2557297105791440,32 Years and 3 Months,No,10135813094961400,7163323131671870,Low_spent_Small_value_payments,6651520000000000,Standard
August,24_,Mechanic,68988.68,5942056666666660,5,4,7,2,14,4,7.15,6.0,Good,1106.06,2659085441093550,32 Years and 4 Months,No,10135813094961400,10952637351288400,High_spent_Large_value_payments,6233210000000000,Standard
January,47,Accountant,69869.92,5940493333333330,4,5,13,2,13,19,11.42,0.0,Standard,220.97,3812067632959000,32 Years and 11 Months,Yes,9935750004889550,7528422530396960,High_spent_Medium_value_payments,6694080000000000,Standard
February,47,Accountant,69869.92,5940493333333330,4,5,13,2,13,22,18.42,0.0,Standard,220.97,29403529808020300,33 Years and 0 Months,NM,9935750004889550,6493480999968900,High_spent_Medium_value_payments,6797570000000000,Standard
March,48,Accountant,69869.92,5940493333333330,4,5,13,2,13,19,4.42,0.0,Standard,220.97,28452146878269800,NA,Yes,9935750004889550,22994213602742000,!@9#%8,5147500000000000,Standard
April,48,Accountant,69869.92_,,4,5,13,2,13,19,11.42,0.0,Standard,220.97,29785173128081500,33 Years and 2 Months,Yes,9935750004889550,1448361623479660,High_spent_Medium_value_payments,5998560000000000,Standard
May,48,nan,69869.92_,5940493333333330,4,5,13,2,13,16,11.42,0.0,Standard,220.97,2583355572443960,33 Years and 3 Months,Yes,9935750004889550,,High_spent_Large_value_payments,6165850000000000,Standard
June,48,Accountant,69869.92_,,4,5,13,2,13,19,11.42,0.0,_,220.97,27038032532733800,33 Years and 4 Months,Yes,9935750004889550,175090284492845,High_spent_Medium_value_payments,5696020000000000,Standard
July,48,Accountant,69869.92,5940493333333330,4,5,13,2,13,17,11.42,2245.0,Standard,220.97,3550176356460910,33 Years and 5 Months,Yes,9935750004889550,8251473153944230,High_spent_Medium_value_payments,6621770000000000,Poor
August,48,Accountant,69869.92,5940493333333330,4,5,13,2,13,19,11.42,0.0,Standard,220.97,377320872031706,33 Years and 6 Months,Yes,9935750004889550,,High_spent_Medium_value_payments,5397380000000000,Poor
January,39,Teacher,15707.85,,4,4,13,1,16,10,7.59,8.0,Standard,1382.26,3373718252711220,7 Years and 7 Months,Yes,10811389639578600,6621064595701780,Low_spent_Small_value_payments,3178770000000000,Standard
February,39,Teacher,15707.85,10489875,4,4,13,1,16,10,7.59,10.0,Standard,1382.26,2854229011735200,NA,Yes,10811389639578600,8028253461661600,Low_spent_Medium_value_payments,29380500000000000,Standard
March,39,Teacher,15707.85,10489875,4,4,13,1,16,10,7.59,10.0,Standard,1382.26,3993996978511260,7 Years and 9 Months,Yes,10811389639578600,62080352490276700,!@9#%8,3120070000000000,Standard
April,39,Teacher,15707.85,10489875,4,4,13,1,16,8,7.59,10.0,Standard,1382.26,24973295112405300,7 Years and 10 Months,Yes,10811389639578600,11478241481846300,Low_spent_Small_value_payments,2693050000000000,Standard
May,39,Teacher,15707.85,10489875,434,4,13,1,16,10,7.59,10.0,_,1382.26,24907677125553000,7 Years and 11 Months,Yes,10811389639578600,5100725331983950,Low_spent_Small_value_payments,3330800000000000,Standard
June,39,Teacher,15707.85,10489875,4,4,13,1,16,10,7.59,10.0,Standard,1382.26,3712887017406320,NA,Yes,10811389639578600,7867362991168000,Low_spent_Small_value_payments,30541400000000000,Standard
July,39,Teacher,15707.85,10489875,4,4,13,1,16,8,7.59,10.0,Standard,1382.26,3005515590978550,8 Years and 1 Months,Yes,10811389639578600,10810531444756600,Low_spent_Medium_value_payments,26598200000000000,Standard
August,39,Teacher,15707.85,10489875,4,4,13,1,18,10,7.59,10.0,Standard,1382.26,3192995241104840,8 Years and 2 Months,Yes,10811389639578600,9890485187929120,Low_spent_Medium_value_payments,2751830000000000,Standard
January,38,Scientist,41176.49,3427374166666660,0,4,11,2,4,4,4.5,3.0,Good,46.05,2459897193405040,20 Years and 9 Months,No,5252158963126020,734748630548533,High_spent_Small_value_payments,4767410000000000,Standard
February,38_,Scientist,41176.49,3427374166666660,0,4,11,2,8,6,4.5,3.0,Good,46.05,30121305611692000,20 Years and 10 Months,No,5252158963126020,12001965872456900,Low_spent_Medium_value_payments,45019600000000000,Standard
March,38,Scientist,41176.49,3427374166666660,0,4,11,2,4,4,4.5,5.0,Good,46.05,29687585311926100,20 Years and 11 Months,No,5252158963126020,5157687138671100,High_spent_Large_value_payments,4786390000000000,Standard
April,5430,Scientist,41176.49,3427374166666660,0,4,11,2,8,4,4.5,5.0,Good,46.05,29871293051248100,21 Years and 0 Months,No,5252158963126020,42666017633030800,Low_spent_Small_value_payments,153555650705098,Standard
May,38,Scientist,41176.49,,0,4,11,2,4,4,4.5,5.0,_,46.05,31974281407295800,NA,No,5252158963126020,19095679927700200,High_spent_Small_value_payments,3592590000000000,Standard
June,38,Scientist,41176.49,,0,4,11,2,4,4,1.5,5.0,Good,46.05,2784697870096150,21 Years and 2 Months,No,5252158963126020,16741579341697300,Low_spent_Medium_value_payments,4028000000000000,Standard
July,38,Scientist,41176.49,3427374166666660,0,4,11,2,4,4,4.5,5.0,Good,46.05,37499958755252700,21 Years and 3 Months,No,54626.0,6602996221864450,High_spent_Small_value_payments,4841860000000000,Standard
August,38,Scientist,41176.49_,3427374166666660,0,4,11,2,4,4,2.5,5.0,Good,46.05,3247725798430910,21 Years and 4 Months,No,5252158963126020,14232800769989400,High_spent_Medium_value_payments,3978880000000000,Standard
January,35_,Developer,"2.458.539,00",6832533333333330,7,7,18,8,47,25,22.54,10.0,Bad,4290.31,25587167729284700,12 Years and 4 Months,Yes,4924068791457920,16552914131735900,High_spent_Medium_value_payments,25253200000000000,Standard
February,35,Developer,"2.458.539,00",6832533333333330,8,8,18,8,44,26,21.54,10.0,Bad,4290.31,30651966478792800,12 Years and 5 Months,NM,4924068791457920,8776925718559080,Low_spent_Small_value_payments,2213150000000000,Standard
March,35,Developer,"2.458.539,00",6832533333333330,8,8,18,8,47,25,25.54,14.0,Bad,4290.31,3859298372885140,12 Years and 6 Months,Yes,4924068791457920,53407851731258700,Low_spent_Small_value_payments,25567700000000000,Standard
April,35,Developer,"2.458.539,00",,8,8,18,8,47,,21.54,14.0,Bad,4290.31,2996019115612810,12 Years and 7 Months,Yes,4924068791457920,33132257968199600,Low_spent_Medium_value_payments,26595200000000000,Standard
May,35,Developer,"2.458.539,00",,8,8,18,8,47,25,21.54,14.0,Bad,4290.31,3850907753385360,12 Years and 8 Months,NM,4924068791457920,8986940208860780,Low_spent_Small_value_payments,2192150000000000,Standard
June,35,Developer,"2.458.539,00",6832533333333330,8,8,18,8,42,25,26.54,14.0,Bad,4290.31,29778155658606200,12 Years and 9 Months,Yes,80750.0,8463711300310250,!@9#%8,22444800000000000,Standard
July,35,Developer,"2.458.539,00",,8,8,18,8,47,28,21.54,14.0,_,4290.31,3204563734489280,12 Years and 10 Months,Yes,4924068791457920,6080528520145780,Low_spent_Small_value_payments,24827900000000000,Standard
August,35,Developer,"2.458.539,00",6832533333333330,8,8,18,8,47,25,21.54,14.0,Bad,4290.31,3855141805811840,12 Years and 11 Months,NM,4924068791457920,3798203618786070,Low_spent_Large_value_payments,2511030000000000,Standard
January,26,Doctor,18094.55,15708791666666600,9,10,18,7,37,20,28.47,12.0,Bad,2673.3,3230276277164970,7 Years and 9 Months,Yes,9926816949411070,51729628285171400,Low_spent_Large_value_payments,27609000000000000,Standard
February,26,Doctor,18094.55,15708791666666600,9,10,18,7,37,20,34.47,12.0,Bad,2673.3,2885376375277050,7 Years and 10 Months,Yes,9926816949411070,1563677190267950,Low_spent_Small_value_payments,19145200000000000,Standard
March,26,Doctor,18094.55,15708791666666600,9,10,18,7,32,18,28.47,12.0,_,2673.3,2449337245543720,7 Years and 11 Months,Yes,9926816949411070,2720931972686380,High_spent_Medium_value_payments,28061000000000000,Standard
April,26,Doctor,18094.55,15708791666666600,9,10,18,7,37,,28.47,12.0,Bad,2673.3,26223011600694400,8 Years and 0 Months,Yes,9926816949411070,__10000__,!@9#%8,1955380000000000,Poor
May,8442,Doctor,18094.55,15708791666666600,9,10,18,7,39,18,28.47,12.0,Bad,2673.3,299007060763334,8 Years and 1 Months,Yes,9926816949411070,9615293100054730,Low_spent_Small_value_payments,25166700000000000,Poor
June,26,Doctor,18094.55,15708791666666600,9,10,18,7,37,20,28.47,12.0,Bad,2673.3,37843131413844600,8 Years and 2 Months,Yes,9926816949411070,9148552059166700,Low_spent_Small_value_payments,25633400000000000,Poor
July,27,Doctor,16163744.0,15708791666666600,9,10,18,7,37,19,23.47,12.0,Bad,2673.3,36740717662963600,8 Years and 3 Months,Yes,9926816949411070,__10000__,Low_spent_Small_value_payments,2043340000000000,Standard
August,27,nan,18094.55,15708791666666600,9,10,18,7,37,19,28.47,12.0,Bad,2673.3,26329134624010100,NA,NM,9926816949411070,10799854558594600,High_spent_Large_value_payments,28702000000000000,Standard
January,21,Doctor,55907.52,4543.96,3,9,15,5,6,11,8.71,12.0,Standard,1474.63,3455536907083490,18 Years and 11 Months,Yes,19270103986862400,4201540976187170,Low_spent_Small_value_payments,13154100000000000,Poor
February,21,Doctor,55907.52,4543.96,3,9,15,5,6,11,8.71,12.0,Standard,1474.63,29432509035788300,19 Years and 0 Months,Yes,19270103986862400,20931030950722700,Low_spent_Small_value_payments,34238500000000000,Poor
March,21,Doctor,55907.52,4543.96,3,9,15,5,6,11,8.71,12.0,_,1474.63,4063475051335670,19 Years and 1 Months,NM,19270103986862400,5168401093911580,High_spent_Large_value_payments,4500110000000000,Poor
April,21,Doctor,55907.52,4543.96,3,9,15,5,6,11,8.71,12.0,Standard,1474.63,31665277025501900,19 Years and 2 Months,Yes,19270103986862400,9362508626657830,High_spent_Large_value_payments,4080700000000000,Standard
May,21,Doctor,55907.52,4543.96,3,9,15,5,6,12,8.71,15.0,Standard,1474.63,36281381578684600,19 Years and 3 Months,Yes,19270103986862400,10758363998908200,High_spent_Medium_value_payments,4041110000000000,Standard
June,21,Doctor,55907.52,4543.96,3,9,15,5,6,14,8.71,15.0,_,1474.63,372811269213199,19 Years and 4 Months,Yes,19270103986862400,7101680258802540,High_spent_Large_value_payments,4306780000000000,Standard
July,21,Doctor,55907.52_,4543.96,3,9,15,5,9,11,8.71,15.0,Standard,1474.63,31772645457009100,19 Years and 5 Months,Yes,19270103986862400,6011334201483960,Low_spent_Small_value_payments,,Standard
August,21,Doctor,55907.52,4543.96,3,9,15,5,6,11,8.71,15.0,Standard,1474.63,3212761425523600,19 Years and 6 Months,Yes,19270103986862400,23140242582270800,High_spent_Small_value_payments,2902930000000000,Standard
January,42,Journalist,84114.48,6848.54,8,4,12,3,8,16,17.49,4.0,_,1080.17,3171351308857130,30 Years and 7 Months,Yes,20835276362129800,27117164439975800,High_spent_Medium_value_payments,4553300000000000,Standard
February,42,Journalist,84114.48_,6848.54,8,4,12,3,8,19,17.49,4.0,Standard,1080.17,23962370811466800,30 Years and 8 Months,Yes,20835276362129800,5546040777469040,Low_spent_Medium_value_payments,20189700000000000,Standard
March,42,Journalist,84114.48,6848.54,8,4,12,3,4,19,17.49,4.0,Standard,1080.17,34262747961207400,30 Years and 9 Months,Yes,20835276362129800,1882982092975200,High_spent_Medium_value_payments,5382030000000000,Standard
April,42,nan,84114.48,6848.54,8,4,12,3,8,16,17.49,7.0,Standard,1080.17,2835716868361940,30 Years and 10 Months,Yes,17557.0,21491162696536800,Low_spent_Medium_value_payments,5415900000000000,Standard
May,43,Journalist,84114.48,,8,4,12,3,8,16,17.49,7.0,Standard,1080.17,390377022858976,30 Years and 11 Months,Yes,20835276362129800,624626635676482,Low_spent_Medium_value_payments,13187500000000000,Standard
June,43,nan,84114.48,6848.54,8,4,12,3,8,16,17.49,7.0,Standard,1080.17,3572000400790840,31 Years and 0 Months,Yes,20835276362129800,6768727870853280,Low_spent_Medium_value_payments,7962840000000000,Standard
July,43,Journalist,84114.48_,6848.54,8,4,12,3,8,16,17.49,7.0,Standard,1080.17,39451523798958100,NA,Yes,20835276362129800,1687566557492320,High_spent_Large_value_payments,5477450000000000,Standard
August,43,Journalist,84114.48,6848.54,8,4,12,3,6,16,17.49,7.0,Standard,1080.17,33502690031364100,31 Years and 2 Months,Yes,20835276362129800,2530736410936830,Low_spent_Medium_value_payments,50342800000000000,Standard
January,35,Teacher,8155.79,,9,5,27,6,32,17,28.08,10.0,Bad,3090.08,36871124774872700,11 Years and 10 Months,Yes,25399571872312600,27617253754448600,Low_spent_Small_value_payments,27504800000000000,Standard
February,35,Teacher,8155.79,3806491666666660,9,5,27,6,32,17,28.08,10.0,Bad,3090.08_,25402637585524300,11 Years and 11 Months,Yes,25399571872312600,20111587687231800,Low_spent_Large_value_payments,26255400000000000,Standard
March,35,Teacher,8155.79,,9,5,1601,6,32,17,28.08,15.0,Bad,3090.08,28055233216834700,12 Years and 0 Months,Yes,25399571872312600,3712248000253830,Low_spent_Medium_value_payments,25554300000000000,Standard
April,35,Teacher,8155.79,3806491666666660,9,5,27,6,32,17,_,15.0,Bad,3090.08,3648841504855840,12 Years and 1 Months,Yes,25399571872312600,,High_spent_Medium_value_payments,25461600000000000,Standard
May,35,Teacher,8155.79,3806491666666660,9,5,27,6,32,15,28.08,15.0,Bad,3090.08,37052438215830000,12 Years and 2 Months,Yes,25399571872312600,2268665540308660,Low_spent_Small_value_payments,2799790000000000,Standard
June,36,Teacher,8155.79,3806491666666660,9,5,27,6,32,15,28.08,15.0,Bad,3090.08,25254311465619700,12 Years and 3 Months,Yes,25399571872312600,15182324535867800,Low_spent_Small_value_payments,2874830000000000,Standard
July,36,Teacher,8155.79,3806491666666660,9,5,27,6,34,,28.08,15.0,Bad,3090.08,3728691524851490,12 Years and 4 Months,Yes,25399571872312600,3348957403725550,!@9#%8,2691760000000000,Standard
August,36,Teacher,8155.79,3806491666666660,9,5,27,6,33,17,28.08,15.0,Bad,3090.08,3572500663339140,12 Years and 5 Months,Yes,25399571872312600,27833467959232800,Low_spent_Small_value_payments,2748320000000000,Standard
January,26,Developer,138722.36,11264196666666600,5,4,738,0,2,7,7.61,4.0,Good,1474.32,27125377598574400,21 Years and 1 Months,No,0.0,9015391669079300,Low_spent_Medium_value_payments,5048800000000000,Good
February,26,Developer,138722.36_,,5,4,3,0,2,6,5.61,,Good,1474.32,4302143383914680,21 Years and 2 Months,NM,0.0,14752855842351000,High_spent_Medium_value_payments,12288900000000000,Good
March,-500,Developer,138722.36,11264196666666600,5,4,3,0_,2,6,7.61,4.0,Good,1474.32,2427902878461650,21 Years and 3 Months,No,0.0,669607622975959,High_spent_Small_value_payments,7168120000000000,Standard
April,27,Developer,138722.36,11264196666666600,5,4,3,0,2,5,7.61,4.0,Good,1474.32,34348691896419300,21 Years and 4 Months,No,0.0,5747104371279570,High_spent_Small_value_payments,8117090000000000,Standard
May,27,Developer,138722.36,11264196666666600,5,4,3,0,2,,7.61,4.0,Good,1474.32,37240724035310200,NA,No,0.0,50349837933015700,Low_spent_Large_value_payments,8929210000000000,Standard
June,27,Developer,138722.36,11264196666666600,5,1449,3,0,2,6,7.61,4.0,Good,1474.32,4116268689555870,21 Years and 6 Months,No,0.0,2652101641567100,Low_spent_Large_value_payments,1131210000000000,Standard
July,27,Developer,138722.36,11264196666666600,5,4,3,0,2,6,12.61,4.0,_,1474.32,37063314974613400,21 Years and 7 Months,No,0.0,7676187853731510,Low_spent_Medium_value_payments,6388010000000000,Standard
August,27,Developer,138722.36,11264196666666600,5,4,3,0_,2,6,4.61,9.0,Good,1474.32_,4241587572705010,21 Years and 8 Months,No,0.0,33119992801665800,High_spent_Small_value_payments,1055220000000000,Standard
January,16,Media_Manager,49417.52_,,4,5,9,6,32,20,8.69,7.0,_,1182.62,29274043151276100,14 Years and 10 Months,Yes,16212733607529800,11811254836073300,!@9#%8,3872730000000000,Standard
February,16,Media_Manager,49417.52,4175126666666660,4,5,9,6_,30,17,8.69,7.0,Standard,1182.62,38231399739345500,14 Years and 11 Months,Yes,16212733607529800,16821603663765700,High_spent_Medium_value_payments,33716900000000000,Standard
March,16,Media_Manager,49417.52,,4,5,9,6,26,17,8.69,7.0,Standard,1182.62,2735696494548750,15 Years and 0 Months,Yes,16212733607529800,5581486071442910,Low_spent_Small_value_payments,,Standard
April,16,Media_Manager,49417.52,4175126666666660,4,5,9,-100,29,17,8.69,7.0,_,1182.62,358581021756677,15 Years and 1 Months,Yes,16212733607529800,6563470961017030,High_spent_Large_value_payments,42975100000000000,Standard
May,16,Media_Manager,49417.52,4175126666666660,4,5,9,6,25,17,8.69,7.0,Standard,1182.62,2996214482029720,15 Years and 2 Months,Yes,16212733607529800,34157471875152300,Low_spent_Small_value_payments,20381100000000000,Standard
June,16,Media_Manager,49417.52,4175126666666660,4,5,9,6_,26,17,4.69,9.0,Standard,1182.62,3615051048678570,15 Years and 3 Months,NM,16212733607529800,3025602857148870,Low_spent_Large_value_payments,22282500000000000,Standard
July,16,Media_Manager,49417.52_,4175126666666660,4,5,9,6,30,17,8.69,9.0,Standard,1182.62,24182587882983800,15 Years and 4 Months,Yes,16212733607529800,14883458724119900,Low_spent_Medium_value_payments,38655100000000000,Standard
August,16,nan,49417.52,,4,5,9,6,30,19,8.69,9.0,Standard,1182.62,3834526646792030,15 Years and 5 Months,Yes,16212733607529800,31070590041366200,High_spent_Large_value_payments,46431500000000000,Standard
